time	V(n002)	I(Re)	I(Rs)
1.642107698812230e-01	4.701355e-02	1.324660e-07	2.499999e-07
1.644000000000000e-01	4.853306e-02	1.286672e-07	2.499999e-07
1.645367187500000e-01	4.858191e-02	4.309590e-08	1.645507e-07
1.646437500000000e-01	4.811355e-02	-2.262772e-08	9.765615e-08
1.648000000000000e-01	4.692917e-02	-1.173230e-07	-9.827486e-14
1.654194196428571e-01	4.275009e-02	-1.068753e-07	-8.567213e-14
1.660388392857143e-01	3.887771e-02	-9.719435e-08	-7.447282e-14
1.666582589285714e-01	3.531205e-02	-8.828018e-08	-6.467692e-14
1.672776785714284e-01	3.205310e-02	-8.013279e-08	-5.628446e-14
1.678970982142856e-01	2.910085e-02	-7.275218e-08	-4.929541e-14
1.685165178571427e-01	2.645532e-02	-6.613835e-08	-4.370978e-14
1.691359374999998e-01	2.411650e-02	-6.029129e-08	-3.952758e-14
1.697776785714283e-01	2.189588e-02	-5.473974e-08	-3.530082e-14
1.704194196428568e-01	1.984309e-02	-4.960776e-08	-3.146073e-14
1.710611607142854e-01	1.795813e-02	-4.489536e-08	-2.800731e-14
1.717029017857139e-01	1.624100e-02	-4.060253e-08	-2.494056e-14
1.723446428571425e-01	1.469170e-02	-3.672928e-08	-2.226048e-14
1.729863839285710e-01	1.331024e-02	-3.327561e-08	-1.996707e-14
1.736281249999995e-01	1.209660e-02	-3.024152e-08	-1.806033e-14
1.741303571428566e-01	1.120958e-02	-2.802396e-08	-1.664253e-14
1.746325892857138e-01	1.037789e-02	-2.594474e-08	-1.532220e-14
1.751348214285709e-01	9.601533e-03	-2.400385e-08	-1.409936e-14
1.756370535714280e-01	8.880508e-03	-2.220128e-08	-1.297398e-14
1.761392857142851e-01	8.214816e-03	-2.053705e-08	-1.194609e-14
1.766415178571422e-01	7.604455e-03	-1.901115e-08	-1.101568e-14
1.771437499999993e-01	7.049426e-03	-1.762358e-08	-1.018274e-14
1.773390624999993e-01	6.841093e-03	-1.710274e-08	-9.869059e-15
1.780924107142850e-01	6.112414e-03	-1.528104e-08	-8.783444e-15
1.788457589285707e-01	5.445786e-03	-1.361447e-08	-7.794134e-15
1.795991071428563e-01	4.841209e-03	-1.210303e-08	-6.901128e-15
1.803524553571420e-01	4.298684e-03	-1.074671e-08	-6.104427e-15
1.811058035714277e-01	3.818210e-03	-9.545529e-09	-5.404031e-15
1.818591517857134e-01	3.399787e-03	-8.499472e-09	-4.799938e-15
1.826124999999990e-01	3.043416e-03	-7.608543e-09	-4.292151e-15
1.835053571428561e-01	2.666517e-03	-6.666297e-09	-3.753763e-15
1.843982142857132e-01	2.325820e-03	-5.814553e-09	-3.267888e-15
1.852910714285703e-01	2.021324e-03	-5.053312e-09	-2.834527e-15
1.861839285714274e-01	1.753028e-03	-4.382573e-09	-2.453679e-15
1.870767857142845e-01	1.520934e-03	-3.802337e-09	-2.125345e-15
1.879696428571416e-01	1.325040e-03	-3.312603e-09	-1.849524e-15
1.888624999999987e-01	1.165348e-03	-2.913371e-09	-1.626217e-15
1.900901785714272e-01	9.763886e-04	-2.440973e-09	-1.361438e-15
1.913178571428557e-01	8.097480e-04	-2.024371e-09	-1.128072e-15
1.925455357142841e-01	6.654259e-04	-1.663566e-09	-9.261175e-16
1.937732142857127e-01	5.434223e-04	-1.358556e-09	-7.555747e-16
1.950008928571412e-01	4.437371e-04	-1.109343e-09	-6.164435e-16
1.962285714285697e-01	3.663704e-04	-9.159266e-10	-5.087241e-16
1.974562499999982e-01	3.113222e-04	-7.783061e-10	-4.324164e-16
1.999249999999682e-01	2.130325e-04	-5.325814e-10	-2.957360e-16
2.000000000000000e-01	2.105876e-04	-5.264692e-10	-2.923361e-16
